izn            tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.607347e+00    7.660283e+00    1.183425e+00    3.077363e+00    6.769451e+00    1.038241e+01    1.357070e+01    1.501529e+01    1.401358e+01    1.184023e+01    8.506852e+00    6.737627e+00    6.226840e+00    5.594086e+00    4.317838e+00
1         2.036719e+00    3.490629e+00    5.269110e-01    1.354822e+00    3.054673e+00    4.827395e+00    6.431993e+00    7.255445e+00    6.829589e+00    5.798606e+00    4.176285e+00    3.309331e+00    3.058697e+00    2.748165e+00    2.121469e+00
2         1.444236e+00    2.532058e+00    3.709561e-01    9.529110e-01    2.203629e+00    3.531855e+00    4.744286e+00    5.401011e+00    5.104723e+00    4.344885e+00    3.133256e+00    2.483464e+00    2.295472e+00    2.062540e+00    1.592308e+00
3         1.110502e+00    1.974600e+00    2.832776e-01    7.282613e-01    1.713193e+00    2.765715e+00    3.729855e+00    4.266361e+00    4.040811e+00    3.443885e+00    2.485207e+00    1.970085e+00    1.820995e+00    1.636259e+00    1.263263e+00
4         8.956658e-01    1.600687e+00    2.271721e-01    5.853350e-01    1.387824e+00    2.242078e+00    3.024119e+00    3.461748e+00    3.279947e+00    2.796263e+00    2.018203e+00    1.599936e+00    1.478866e+00    1.328848e+00    1.025939e+00
5         7.420569e-01    1.325769e+00    1.872266e-01    4.839917e-01    1.150328e+00    1.852383e+00    2.493045e+00    2.849188e+00    2.697772e+00    2.299258e+00    1.659272e+00    1.315360e+00    1.215818e+00    1.092479e+00    8.434452e-01
6         6.245566e-01    1.111745e+00    1.567716e-01    4.069066e-01    9.662536e-01    1.546825e+00    2.073940e+00    2.362529e+00    2.233926e+00    1.902601e+00    1.372565e+00    1.088007e+00    1.005659e+00    9.036273e-01    6.976316e-01
7         5.302347e-01    9.383020e-01    1.324811e-01    3.453325e-01    8.173456e-01    1.298761e+00    1.733114e+00    1.965849e+00    1.855454e+00    1.578733e+00    1.138388e+00    9.022962e-01    8.339906e-01    7.493613e-01    5.785191e-01
8         4.528973e-01    7.953405e-01    1.126622e-01    2.950115e-01    6.947074e-01    1.094204e+00    1.451933e+00    1.638278e+00    1.542785e+00    1.311089e+00    9.448321e-01    7.487933e-01    6.920942e-01    6.218483e-01    4.800622e-01
9         3.881632e-01    6.753101e-01    9.612420e-02    2.529755e-01    5.917865e-01    9.224313e-01    1.215769e+00    1.363015e+00    1.279984e+00    1.086092e+00    7.821025e-01    6.197354e-01    5.727941e-01    5.146407e-01    3.972833e-01
10        3.335540e-01    5.738848e-01    8.220350e-02    2.175602e-01    5.048340e-01    7.773023e-01    1.016251e+00    1.130431e+00    1.057914e+00    8.959542e-01    6.445783e-01    5.106665e-01    4.719715e-01    4.240375e-01    3.273251e-01
11        2.869308e-01    4.873428e-01    7.039585e-02    1.873974e-01    4.305691e-01    6.538449e-01    8.469608e-01    9.334465e-01    8.699700e-01    7.350862e-01    5.282412e-01    4.184032e-01    3.866844e-01    3.473956e-01    2.681472e-01
12        2.477466e-01    4.146347e-01    6.033933e-02    1.619110e-01    3.682729e-01    5.495559e-01    7.033017e-01    7.657677e-01    7.097930e-01    5.979167e-01    4.290216e-01    3.397123e-01    3.139429e-01    2.820269e-01    2.176734e-01
13        2.097908e-01    3.474355e-01    5.046031e-02    1.367953e-01    3.100523e-01    4.547761e-01    5.747195e-01    6.181385e-01    5.697641e-01    4.785114e-01    3.428383e-01    2.713904e-01    2.507908e-01    2.252812e-01    1.738630e-01
14        1.696287e-01    2.811186e-01    3.989550e-02    1.096782e-01    2.515224e-01    3.641472e-01    4.553719e-01    4.854418e-01    4.456740e-01    3.735919e-01    2.674365e-01    2.116676e-01    1.955951e-01    1.756939e-01    1.355885e-01
15        1.325163e-01    2.211620e-01    3.010111e-02    8.446945e-02    1.982883e-01    2.830685e-01    3.496986e-01    3.693099e-01    3.376507e-01    2.825519e-01    2.021177e-01    1.599487e-01    1.477991e-01    1.327575e-01    1.024506e-01
16        1.001873e-01    1.690812e-01    2.161007e-02    6.253788e-02    1.519761e-01    2.129337e-01    2.586549e-01    2.696278e-01    2.450828e-01    2.046072e-01    1.462190e-01    1.156923e-01    1.069003e-01    9.601767e-02    7.409571e-02
17        7.023160e-02    1.197026e-01    1.443749e-02    4.301720e-02    1.078231e-01    1.486303e-01    1.778202e-01    1.831460e-01    1.655640e-01    1.379139e-01    9.846706e-02    7.789695e-02    7.197451e-02    6.464532e-02    4.988461e-02
18        4.135361e-02    7.079881e-02    8.310078e-03    2.510856e-02    6.383385e-02    8.734518e-02    1.037645e-01    1.062650e-01    9.581159e-02    7.972496e-02    5.689627e-02    4.500687e-02    4.158429e-02    3.734917e-02    2.882069e-02
19        1.491535e-02    2.563936e-02    2.934517e-03    8.983586e-03    2.313706e-02    3.144732e-02    3.711702e-02    3.781014e-02    3.400666e-02    2.826839e-02    2.016545e-02    1.595035e-02    1.473715e-02    1.323606e-02    1.021354e-02
