izn            tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         1.842939e+01    3.064114e+01    4.733701e+00    1.230945e+01    2.707781e+01    4.152966e+01    5.428280e+01    6.006117e+01    5.605431e+01    4.736092e+01    3.402741e+01    2.695051e+01    2.490736e+01    2.237635e+01    1.727135e+01
1         8.146879e+00    1.396252e+01    2.107644e+00    5.419287e+00    1.221870e+01    1.930958e+01    2.572798e+01    2.902179e+01    2.731836e+01    2.319443e+01    1.670514e+01    1.323733e+01    1.223479e+01    1.099266e+01    8.485876e+00
2         5.776946e+00    1.012823e+01    1.483825e+00    3.811645e+00    8.814520e+00    1.412742e+01    1.897715e+01    2.160405e+01    2.041890e+01    1.737955e+01    1.253303e+01    9.933857e+00    9.181891e+00    8.250161e+00    6.369232e+00
3         4.442008e+00    7.898403e+00    1.133111e+00    2.913046e+00    6.852775e+00    1.106286e+01    1.491942e+01    1.706545e+01    1.616325e+01    1.377555e+01    9.940832e+00    7.880344e+00    7.283984e+00    6.545039e+00    5.053053e+00
4         3.582665e+00    6.402749e+00    9.086885e-01    2.341341e+00    5.551297e+00    8.968314e+00    1.209648e+01    1.384699e+01    1.311979e+01    1.118505e+01    8.072816e+00    6.399748e+00    5.915465e+00    5.315395e+00    4.103759e+00
5         2.968229e+00    5.303080e+00    7.489068e-01    1.935967e+00    4.601314e+00    7.409535e+00    9.972183e+00    1.139675e+01    1.079109e+01    9.197036e+00    6.637089e+00    5.261441e+00    4.863274e+00    4.369916e+00    3.373782e+00
6         2.498228e+00    4.446983e+00    6.270866e-01    1.627627e+00    3.865016e+00    6.187303e+00    8.295763e+00    9.450120e+00    8.935706e+00    7.610406e+00    5.490264e+00    4.352032e+00    4.022639e+00    3.614511e+00    2.790528e+00
7         2.120940e+00    3.753210e+00    5.299247e-01    1.381331e+00    3.269384e+00    5.195045e+00    6.932458e+00    7.863399e+00    7.421821e+00    6.314933e+00    4.553555e+00    3.609186e+00    3.335964e+00    2.997446e+00    2.314077e+00
8         1.811590e+00    3.181363e+00    4.506489e-01    1.180047e+00    2.778831e+00    4.376819e+00    5.807733e+00    6.553115e+00    6.171144e+00    5.244357e+00    3.779330e+00    2.995174e+00    2.768378e+00    2.487394e+00    1.920250e+00
9         1.552654e+00    2.701242e+00    3.844970e-01    1.011903e+00    2.367147e+00    3.689727e+00    4.863077e+00    5.452061e+00    5.119938e+00    4.344372e+00    3.128411e+00    2.478943e+00    2.291178e+00    2.058564e+00    1.589134e+00
10        1.334217e+00    2.295540e+00    3.288142e-01    8.702413e-01    2.019337e+00    3.109211e+00    4.065006e+00    4.521728e+00    4.231658e+00    3.583818e+00    2.578315e+00    2.042667e+00    1.887887e+00    1.696151e+00    1.309301e+00
11        1.147724e+00    1.949372e+00    2.815836e-01    7.495898e-01    1.722277e+00    2.615381e+00    3.387845e+00    3.733788e+00    3.479882e+00    2.940346e+00    2.112966e+00    1.673614e+00    1.546739e+00    1.389583e+00    1.072589e+00
12        9.909869e-01    1.658540e+00    2.413574e-01    6.476442e-01    1.473092e+00    2.198225e+00    2.813208e+00    3.063072e+00    2.839173e+00    2.391668e+00    1.716087e+00    1.358850e+00    1.255772e+00    1.128108e+00    8.706940e-01
13        8.391638e-01    1.389743e+00    2.018413e-01    5.471816e-01    1.240210e+00    1.819105e+00    2.298879e+00    2.472555e+00    2.279058e+00    1.914047e+00    1.371354e+00    1.085562e+00    1.003164e+00    9.011252e-01    6.954525e-01
14        6.785152e-01    1.124475e+00    1.595821e-01    4.387132e-01    1.006090e+00    1.456590e+00    1.821488e+00    1.941768e+00    1.782697e+00    1.494368e+00    1.069746e+00    8.466710e-01    7.823809e-01    7.027759e-01    5.423542e-01
15        5.300653e-01    8.846485e-01    1.204045e-01    3.378780e-01    7.931537e-01    1.132275e+00    1.398795e+00    1.477240e+00    1.350603e+00    1.130208e+00    8.084713e-01    6.397952e-01    5.911969e-01    5.310304e-01    4.098025e-01
16        4.007494e-01    6.763251e-01    8.644032e-02    2.501517e-01    6.079046e-01    8.517352e-01    1.034620e+00    1.078512e+00    9.803317e-01    8.184291e-01    5.848761e-01    4.627695e-01    4.276013e-01    3.840709e-01    2.963830e-01
17        2.809265e-01    4.788106e-01    5.775001e-02    1.720689e-01    4.312927e-01    5.945217e-01    7.112813e-01    7.325842e-01    6.622565e-01    5.516560e-01    3.938684e-01    3.115880e-01    2.878982e-01    2.585814e-01    1.995385e-01
18        1.654145e-01    2.831954e-01    3.324033e-02    1.004343e-01    2.553355e-01    3.493809e-01    4.150583e-01    4.250603e-01    3.832466e-01    3.189000e-01    2.275852e-01    1.800276e-01    1.663373e-01    1.493967e-01    1.152828e-01
19        5.966142e-02    1.025575e-01    1.173808e-02    3.593437e-02    9.254830e-02    1.257894e-01    1.484682e-01    1.512407e-01    1.360267e-01    1.130736e-01    8.066185e-02    6.380145e-02    5.894864e-02    5.294427e-02    4.085420e-02
