izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    5.400000e+12    3.795350e+00    6.239102e+00    9.960978e-01    2.562785e+00    5.515487e+00    8.495292e+00    1.114846e+01    1.235299e+01    1.153417e+01    9.743875e+00    6.999572e+00    5.543602e+00    5.123320e+00    4.602658e+00    3.552538e+00
1         5.209976e-07    1.113264e+13    3.756994e+00    6.177447e+00    9.859643e-01    2.536693e+00    5.460671e+00    8.412106e+00    1.104029e+01    1.223443e+01    1.142402e+01    9.651114e+00    6.933045e+00    5.490931e+00    5.074644e+00    4.558932e+00    3.518791e+00
2         7.531176e-05    5.952960e+13    3.704345e+00    6.092816e+00    9.720545e-01    2.500878e+00    5.385428e+00    8.297921e+00    1.089181e+01    1.207169e+01    1.127282e+01    9.523787e+00    6.841726e+00    5.418631e+00    5.007830e+00    4.498912e+00    3.472469e+00
3         2.241859e-04    1.128816e+14    3.295146e+00    5.435051e+00    8.639458e-01    2.222514e+00    4.800631e+00    7.410459e+00    9.737776e+00    1.080681e+01    1.009771e+01    8.534176e+00    6.131987e+00    4.856710e+00    4.488537e+00    4.032426e+00    3.112448e+00
4         6.187699e-04    1.661472e+14    3.141826e+00    5.188597e+00    8.234392e-01    2.118215e+00    4.581517e+00    7.077941e+00    9.305379e+00    1.033288e+01    9.657414e+00    8.163386e+00    5.866059e+00    4.646167e+00    4.293967e+00    3.857642e+00    2.977553e+00
5         1.078353e-03    2.128464e+14    2.983645e+00    4.934330e+00    7.816485e-01    2.010610e+00    4.355456e+00    6.734882e+00    8.859274e+00    9.843928e+00    9.203160e+00    7.780840e+00    5.591700e+00    4.428949e+00    4.093228e+00    3.677316e+00    2.838383e+00
6         2.659219e-03    2.744496e+14    2.883076e+00    4.772670e+00    7.550785e-01    1.942197e+00    4.211730e+00    6.516769e+00    8.575646e+00    9.533058e+00    8.914352e+00    7.537623e+00    5.417267e+00    4.290845e+00    3.965601e+00    3.562667e+00    2.749900e+00
7         4.488850e-03    3.429648e+14    2.673878e+00    4.436395e+00    6.998092e-01    1.799886e+00    3.912759e+00    6.063064e+00    7.985660e+00    8.886404e+00    8.313589e+00    7.031695e+00    5.054421e+00    4.003569e+00    3.700118e+00    3.324182e+00    2.565843e+00
8         8.964167e-03    4.363200e+14    2.522875e+00    4.193665e+00    6.599146e-01    1.697164e+00    3.696955e+00    5.735571e+00    7.559796e+00    8.419636e+00    7.879946e+00    6.666507e+00    4.792511e+00    3.796207e+00    3.508488e+00    3.152038e+00    2.432987e+00
9         1.784998e-02    5.313600e+14    2.291181e+00    3.821229e+00    5.987019e-01    1.539550e+00    3.365835e+00    5.233077e+00    6.906367e+00    7.703445e+00    7.214581e+00    6.106176e+00    4.390646e+00    3.478039e+00    3.214457e+00    2.887907e+00    2.229137e+00
10        2.799012e-02    6.851520e+14    1.992370e+00    3.340907e+00    5.197574e-01    1.336280e+00    2.938796e+00    4.585023e+00    6.063655e+00    6.779791e+00    6.356476e+00    5.383530e+00    3.872372e+00    3.067706e+00    2.835253e+00    2.547264e+00    1.966238e+00
11        3.573537e-02    7.443360e+14    1.777064e+00    2.994813e+00    4.628743e-01    1.189814e+00    2.631095e+00    4.118069e+00    5.456440e+00    6.114252e+00    5.738168e+00    4.862828e+00    3.498928e+00    2.772040e+00    2.562017e+00    2.301813e+00    1.776805e+00
12        4.388573e-02    8.316000e+14    1.657397e+00    2.802454e+00    4.312588e-01    1.108409e+00    2.460075e+00    3.858535e+00    5.118948e+00    5.744342e+00    5.394509e+00    4.573419e+00    3.291366e+00    2.607707e+00    2.410151e+00    2.165390e+00    1.671518e+00
13        4.961839e-02    8.696160e+14    1.553837e+00    2.635983e+00    4.038985e-01    1.037960e+00    2.312072e+00    3.633930e+00    4.826876e+00    5.424215e+00    5.097099e+00    4.322957e+00    3.111737e+00    2.465489e+00    2.278722e+00    2.047326e+00    1.580399e+00
14        5.603555e-02    9.266400e+14    1.491277e+00    2.535420e+00    3.873705e-01    9.954034e-01    2.222665e+00    3.498248e+00    4.650437e+00    5.230826e+00    4.917434e+00    4.171653e+00    3.003223e+00    2.379575e+00    2.199326e+00    1.976004e+00    1.525354e+00
15        6.230036e-02    9.538560e+14    1.428475e+00    2.434466e+00    3.707786e-01    9.526818e-01    2.132911e+00    3.362037e+00    4.473310e+00    5.036682e+00    4.737066e+00    4.019757e+00    2.894285e+00    2.293325e+00    2.119620e+00    1.904403e+00    1.470094e+00
