   day      158keV_sim   158keV_analytic   158keV_sim/analytic      812keV_sim   812keV_analytic   812keV_sim/analytic
    10    5.422485e+48      5.243705e+48                1.0341    4.724585e+48      4.640679e+48                1.0181
    20    1.741297e+48      1.681673e+48                1.0355    1.518943e+48      1.488281e+48                1.0206
    30    5.551740e+47      5.393181e+47                1.0294    4.836393e+47      4.772965e+47                1.0133
    40    1.769197e+47      1.729611e+47                1.0229    1.536790e+47      1.530705e+47                1.0040
    50    5.654409e+46      5.546917e+46                1.0194    4.905101e+46      4.909022e+46                0.9992
    60    1.896648e+46      1.778915e+46                1.0662    1.652370e+46      1.574339e+46                1.0496
    70    5.867060e+45      5.705037e+45                1.0284    5.095285e+45      5.048958e+45                1.0092
    80    1.913621e+45      1.829624e+45                1.0459    1.641270e+45      1.619217e+45                1.0136
    90    4.971565e+44      5.867663e+44                0.8473    4.513658e+44      5.192882e+44                0.8692
   100    1.075791e+44      1.881779e+44                0.5717    1.016025e+44      1.665374e+44                0.6101
   120    0.000000e+00      1.935420e+43                0.0000    0.000000e+00      1.712847e+43                0.0000
   200    0.000000e+00      2.165720e+39                0.0000    0.000000e+00      1.916662e+39                0.0000
