   day      158keV_sim   158keV_analytic   158keV_sim/analytic   158keV_sim_unsc   158keV_unsc/analytic      812keV_sim   812keV_analytic   812keV_sim/analytic   812keV_sim_unsc   812keV_unsc/analytic
    10    5.312121e-06      1.036000e-07               51.2753      0.000000e+00                 0.0000    1.381152e-04      5.198000e-06               26.5708      1.062424e-05                 2.0439
    20    2.625207e-04      4.892000e-05                5.3663      4.020588e-05                 0.8219    1.754868e-03      2.554000e-04                6.8711      2.956315e-04                 1.1575
    30    4.013169e-04      1.373000e-04                2.9229      1.324073e-04                 0.9644    1.446925e-03      3.745000e-04                3.8636      4.217923e-04                 1.1263
    40    2.253750e-04      1.236000e-04                1.8234      1.032555e-04                 0.8354    7.138530e-04      2.492000e-04                2.8646      2.601245e-04                 1.0438
    50    1.148165e-04      7.233000e-05                1.5874      5.947329e-05                 0.8222    2.808461e-04      1.219000e-04                2.3039      1.371190e-04                 1.1248
    60    5.686174e-05      3.428000e-05                1.6587      3.426284e-05                 0.9995    1.232004e-04      5.124000e-05                2.4044      7.435765e-05                 1.4512
    70    3.092861e-05      1.443000e-05                2.1434      1.974167e-05                 1.3681    4.540583e-05      1.980000e-05                2.2932      2.895444e-05                 1.4623
    80    7.186611e-06      5.642000e-06                1.2738      5.389958e-06                 0.9553    1.497211e-05      7.266000e-06                2.0606      7.785496e-06                 1.0715
    90    2.186441e-06      2.103000e-06                1.0397      1.639831e-06                 0.7798    4.372883e-06      2.577000e-06                1.6969      2.186441e-06                 0.8484
   100    9.988117e-07      7.587000e-07                1.3165      4.994058e-07                 0.6582    9.988117e-07      8.929000e-07                1.1186      9.988117e-07                 1.1186
   120    0.000000e+00      9.249000e-08                0.0000      0.000000e+00                 0.0000    0.000000e+00      1.024000e-07                0.0000      0.000000e+00                 0.0000
   200    0.000000e+00      1.406000e-11                0.0000      0.000000e+00                 0.0000    0.000000e+00      1.384000e-11                0.0000      0.000000e+00                 0.0000
