# Energy(keV) Counts
1.000415e+00 3.942336e+06
1.001245e+00 3.938868e+06
1.002076e+00 3.942042e+06
1.002907e+00 3.935387e+06
1.003739e+00 3.935191e+06
1.004572e+00 3.928084e+06
1.005406e+00 3.923997e+06
1.006240e+00 3.921506e+06
1.007075e+00 3.917609e+06
1.007911e+00 3.915464e+06
1.008747e+00 3.908031e+06
1.009584e+00 3.906597e+06
1.010422e+00 3.900113e+06
1.011260e+00 3.901994e+06
1.012099e+00 3.894424e+06
1.012939e+00 3.892156e+06
1.013779e+00 3.888120e+06
1.014621e+00 3.884753e+06
1.015462e+00 3.881603e+06
1.016305e+00 3.877496e+06
1.017148e+00 3.873453e+06
1.017992e+00 3.871983e+06
1.018837e+00 3.866290e+06
1.019682e+00 3.864470e+06
1.020528e+00 3.863157e+06
1.021375e+00 3.858733e+06
1.022223e+00 3.855745e+06
1.023071e+00 3.849353e+06
1.023920e+00 3.841631e+06
1.024769e+00 3.843614e+06
1.025620e+00 3.836832e+06
1.026471e+00 3.836035e+06
1.027322e+00 3.827420e+06
1.028175e+00 3.831389e+06
1.029028e+00 3.824956e+06
1.029882e+00 3.820097e+06
1.030736e+00 3.818022e+06
1.031592e+00 3.812959e+06
1.032447e+00 3.811229e+06
1.033304e+00 3.808286e+06
1.034162e+00 3.807817e+06
1.035020e+00 3.803129e+06
1.035878e+00 3.797714e+06
1.036738e+00 3.793211e+06
1.037598e+00 3.791031e+06
1.038459e+00 3.786345e+06
1.039321e+00 3.785029e+06
1.040183e+00 3.780054e+06
1.041046e+00 3.776549e+06
1.041910e+00 3.772531e+06
1.042775e+00 3.771300e+06
1.043640e+00 3.767587e+06
1.044506e+00 3.761113e+06
1.045372e+00 3.762328e+06
1.046240e+00 3.758950e+06
1.047108e+00 3.750547e+06
1.047977e+00 3.747210e+06
1.048846e+00 3.745330e+06
1.049717e+00 3.742857e+06
1.050588e+00 3.743303e+06
1.051459e+00 3.735732e+06
1.052332e+00 3.729959e+06
1.053205e+00 3.726733e+06
1.054079e+00 3.727415e+06
1.054954e+00 3.723292e+06
1.055829e+00 3.720396e+06
1.056705e+00 3.715222e+06
1.057582e+00 3.712917e+06
1.058459e+00 3.708832e+06
1.059338e+00 3.702853e+06
1.060217e+00 3.703100e+06
1.061096e+00 3.695629e+06
1.061977e+00 3.692700e+06
1.062858e+00 3.693433e+06
1.063740e+00 3.689864e+06
1.064622e+00 3.686431e+06
1.065506e+00 3.683495e+06
1.066390e+00 3.680353e+06
1.067275e+00 3.673554e+06
1.068160e+00 3.670801e+06
1.069047e+00 3.667380e+06
1.069934e+00 3.664586e+06
1.070821e+00 3.661228e+06
1.071710e+00 3.656507e+06
1.072599e+00 3.656544e+06
1.073489e+00 3.651790e+06
1.074380e+00 3.648265e+06
1.075271e+00 3.643972e+06
1.076164e+00 3.643357e+06
1.077056e+00 3.639645e+06
1.077950e+00 3.633647e+06
1.078845e+00 3.630225e+06
1.079740e+00 3.624463e+06
1.080636e+00 3.625285e+06
1.081532e+00 3.615469e+06
1.082430e+00 3.618432e+06
1.083328e+00 3.612755e+06
1.084227e+00 3.607648e+06
1.085126e+00 3.607168e+06
1.086027e+00 3.601530e+06
1.086928e+00 3.601023e+06
1.087830e+00 3.596877e+06
1.088732e+00 3.594543e+06
1.089636e+00 3.588952e+06
1.090540e+00 3.586138e+06
1.091445e+00 3.585724e+06
1.092350e+00 3.580395e+06
1.093257e+00 3.575575e+06
1.094164e+00 3.573890e+06
1.095072e+00 3.568641e+06
1.095980e+00 3.564721e+06
1.096890e+00 3.564396e+06
1.097800e+00 3.560512e+06
1.098711e+00 3.556913e+06
1.099623e+00 3.554469e+06
1.100535e+00 3.553533e+06
1.101448e+00 3.551682e+06
1.102362e+00 3.541386e+06
1.103277e+00 3.542285e+06
1.104192e+00 3.535011e+06
1.105108e+00 3.535723e+06
1.106025e+00 3.531474e+06
1.106943e+00 3.527183e+06
1.107862e+00 3.525679e+06
1.108781e+00 3.521985e+06
1.109701e+00 3.518826e+06
1.110622e+00 3.515952e+06
1.111543e+00 3.510810e+06
1.112465e+00 3.508273e+06
1.113388e+00 3.504082e+06
1.114312e+00 3.505350e+06
1.115237e+00 3.498910e+06
1.116162e+00 3.493379e+06
1.117088e+00 3.490921e+06
1.118015e+00 3.490067e+06
1.118943e+00 3.483470e+06
1.119871e+00 3.485837e+06
1.120801e+00 3.480082e+06
1.121731e+00 3.475587e+06
1.122661e+00 3.472921e+06
1.123593e+00 3.470529e+06
1.124525e+00 3.467038e+06
1.125458e+00 3.463740e+06
1.126392e+00 3.458765e+06
1.127327e+00 3.460056e+06
1.128262e+00 3.453061e+06
1.129198e+00 3.447243e+06
1.130135e+00 3.447411e+06
1.131073e+00 3.446026e+06
1.132011e+00 3.440762e+06
1.132951e+00 3.438764e+06
1.133891e+00 3.433330e+06
1.134832e+00 3.430373e+06
1.135773e+00 3.427635e+06
1.136716e+00 3.421887e+06
1.137659e+00 3.422827e+06
1.138603e+00 3.419033e+06
1.139548e+00 3.417818e+06
1.140493e+00 3.410778e+06
1.141439e+00 3.411164e+06
1.142387e+00 3.407709e+06
1.143334e+00 3.401528e+06
1.144283e+00 3.400216e+06
1.145233e+00 3.398079e+06
1.146183e+00 3.394400e+06
1.147134e+00 3.391229e+06
1.148086e+00 3.385915e+06
1.149038e+00 3.384081e+06
1.149992e+00 3.381662e+06
1.150946e+00 3.379445e+06
1.151901e+00 3.373740e+06
1.152857e+00 3.369446e+06
1.153813e+00 3.373227e+06
1.154771e+00 3.364003e+06
1.155729e+00 3.361906e+06
1.156688e+00 3.360638e+06
1.157648e+00 3.355666e+06
1.158608e+00 3.350731e+06
1.159570e+00 3.349690e+06
1.160532e+00 3.348834e+06
1.161495e+00 3.344735e+06
1.162458e+00 3.340566e+06
1.163423e+00 3.336148e+06
1.164388e+00 3.331974e+06
1.165354e+00 3.332826e+06
1.166321e+00 3.327455e+06
1.167289e+00 3.327062e+06
1.168258e+00 3.321575e+06
1.169227e+00 3.318145e+06
1.170197e+00 3.316150e+06
1.171168e+00 3.310560e+06
1.172140e+00 3.310821e+06
1.173113e+00 3.309360e+06
1.174086e+00 3.303184e+06
1.175060e+00 3.303395e+06
1.176035e+00 3.297043e+06
1.177011e+00 3.295869e+06
1.177988e+00 3.289896e+06
1.178965e+00 3.291340e+06
1.179943e+00 3.286392e+06
1.180922e+00 3.283098e+06
1.181902e+00 3.281278e+06
1.182883e+00 3.275559e+06
1.183864e+00 3.268735e+06
1.184847e+00 3.269317e+06
1.185830e+00 3.270454e+06
1.186814e+00 3.263934e+06
1.187799e+00 3.260167e+06
1.188784e+00 3.258552e+06
1.189770e+00 3.252786e+06
1.190758e+00 3.251315e+06
1.191746e+00 3.246505e+06
1.192735e+00 3.246219e+06
1.193724e+00 3.241606e+06
1.194715e+00 3.240967e+06
1.195706e+00 3.232351e+06
1.196698e+00 3.233021e+06
1.197691e+00 3.232054e+06
1.198685e+00 3.227490e+06
1.199680e+00 3.224390e+06
1.200675e+00 3.218308e+06
1.201671e+00 3.217890e+06
1.202668e+00 3.213028e+06
1.203666e+00 3.210741e+06
1.204665e+00 3.207032e+06
1.205665e+00 3.204933e+06
1.206665e+00 3.206474e+06
1.207666e+00 3.197865e+06
1.208668e+00 3.196232e+06
1.209671e+00 3.192091e+06
1.210675e+00 3.190136e+06
