# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 2.0000000000000000e+02
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	2.16000000e+13	1.25000000e+06	2.22428160e-15	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	4.45305600e+13	2.57700000e+06	2.87598534e-15	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	2.38118400e+14	1.37800000e+07	2.64767695e-15	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	4.51526400e+14	2.61300000e+07	8.99905574e-16	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	6.64588800e+14	3.84600000e+07	9.29941898e-16	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	8.51385600e+14	4.92700000e+07	6.74378685e-16	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	1.09779840e+15	6.35300000e+07	1.06341685e-15	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	1.37185920e+15	7.93900000e+07	6.90158688e-16	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	1.74528000e+15	1.01000000e+08	7.77186468e-16	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	2.12544000e+15	1.23000000e+08	9.84550025e-16	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	2.74060800e+15	1.58600000e+08	4.38404373e-16	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	2.97734400e+15	1.72300000e+08	6.33180230e-16	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
13	3.32640000e+15	1.92500000e+08	3.71642510e-16	1.37050061e-08	9.99894902e-01	1.05083816e-04	4.38857260e-02
14	3.47846400e+15	2.01300000e+08	5.15352247e-16	1.60829120e-08	9.99831358e-01	1.68626228e-04	4.96183949e-02
15	3.70656000e+15	2.14500000e+08	3.44911297e-16	1.80057375e-08	9.99720867e-01	2.79115012e-04	5.60355494e-02
16	3.81542400e+15	2.20800000e+08	6.43892293e-16	2.02323079e-08	9.99479971e-01	5.20009053e-04	6.23003570e-02
17	4.04179200e+15	2.33900000e+08	2.93631548e-16	2.16048831e-08	9.99360273e-01	6.39704907e-04	6.87835711e-02
18	4.13683200e+15	2.39400000e+08	6.62636380e-16	2.48469007e-08	9.98576139e-01	1.42383601e-03	7.54374796e-02
19	4.35801600e+15	2.52200000e+08	2.72502851e-16	2.59042218e-08	9.98194375e-01	1.80559882e-03	8.23089425e-02
20	4.46169600e+15	2.58200000e+08	5.09480875e-16	2.78928648e-08	9.97464939e-01	2.53503299e-03	8.87992725e-02
21	4.65350400e+15	2.69300000e+08	2.66207518e-16	3.83916357e-08	9.83805864e-01	1.61940975e-02	9.55011830e-02
22	4.77100800e+15	2.76100000e+08	5.56819961e-16	4.17030595e-08	9.76472271e-01	2.35276873e-02	1.04680762e-01
23	5.00774400e+15	2.89800000e+08	2.57481070e-16	4.50167208e-08	9.64005704e-01	3.59942511e-02	1.13888997e-01
