izn tau3keV tau6keV tau1keV tau2keV tau5keV tau10keV tau20keV tau50keV tau100keV tau200keV tau500keV tau847keV tau1000keV tau1238keV tau2000keV
0 0.511927 0.851143 0.131492 0.341929 0.752161 1.1536 1.50786 1.66837 1.55706 1.31558 0.945206 0.748625 0.691871 0.621565 0.47976
1 0.226302 0.387848 0.0585457 0.150536 0.339408 0.536377 0.714666 0.80616 0.758843 0.644289 0.464032 0.367703 0.339855 0.305352 0.235719
2 0.160471 0.28134 0.0412173 0.105879 0.244848 0.392428 0.527143 0.600112 0.567191 0.482765 0.348139 0.27594 0.255052 0.229171 0.176923
3 0.123389 0.2194 0.0314753 0.0809179 0.190355 0.307302 0.414428 0.47404 0.448979 0.382654 0.276134 0.218898 0.202333 0.181807 0.140363
4 0.0995184 0.177854 0.0252413 0.0650372 0.154203 0.24912 0.336013 0.384639 0.364438 0.310696 0.224245 0.177771 0.164318 0.14765 0.113993
5 0.0824507 0.147308 0.020803 0.0537768 0.127814 0.20582 0.277005 0.316576 0.299752 0.255473 0.184363 0.146151 0.135091 0.121386 0.0937161
6 0.0693952 0.123527 0.0174191 0.0452118 0.107361 0.171869 0.230438 0.262503 0.248214 0.2114 0.152507 0.12089 0.11174 0.100403 0.0775146
7 0.0589149 0.104256 0.0147201 0.0383703 0.0908162 0.144307 0.192568 0.218428 0.206162 0.175415 0.126488 0.100255 0.0926656 0.0832623 0.0642799
8 0.0503219 0.0883711 0.012518 0.032779 0.0771897 0.121578 0.161326 0.182031 0.171421 0.145676 0.104981 0.0831992 0.0768993 0.0690942 0.0533402
9 0.0431292 0.0750344 0.0106805 0.0281084 0.065754 0.102492 0.135085 0.151446 0.14222 0.120677 0.0869003 0.0688595 0.0636438 0.0571823 0.0441426
10 0.0370615 0.063765 0.00913372 0.0241734 0.0560926 0.0863669 0.112917 0.125603 0.117546 0.0995504 0.0716198 0.0567407 0.0524413 0.0471153 0.0363694
11 0.0318812 0.0541492 0.00782176 0.0208219 0.047841 0.0726494 0.0941067 0.103716 0.0966633 0.0816762 0.0586934 0.0464892 0.0429649 0.0385995 0.0297941
12 0.0275274 0.0460705 0.00670437 0.0179901 0.0409192 0.0610617 0.0781446 0.0850853 0.0788659 0.0664352 0.047669 0.0377458 0.0348825 0.0313363 0.0241859
13 0.0233101 0.0386039 0.0056067 0.0151995 0.0344502 0.0505307 0.0638577 0.068682 0.0633071 0.0531679 0.0380931 0.0301545 0.0278656 0.0250312 0.0193181
14 0.0188476 0.0312354 0.00443283 0.0121865 0.0279469 0.0404608 0.0505969 0.053938 0.0495193 0.0415102 0.0297152 0.0235186 0.0217328 0.0195215 0.0150654
15 0.014724 0.0245735 0.00334457 0.00938549 0.022032 0.031452 0.0388554 0.0410344 0.0375167 0.0313946 0.0224575 0.0177721 0.0164221 0.0147508 0.0113834
16 0.0111319 0.0187868 0.00240112 0.00694865 0.0168862 0.0236593 0.0287394 0.0299586 0.0272314 0.0227341 0.0162465 0.0128547 0.0118778 0.0106686 0.00823285
17 0.00780351 0.0133003 0.00160417 0.00477969 0.0119803 0.0165145 0.0197578 0.0203495 0.018396 0.0153238 0.0109408 0.00865521 0.00799717 0.00718281 0.00554273
18 0.00459484 0.00786653 0.000923342 0.00278984 0.00709265 0.00970502 0.0115294 0.0118072 0.0106457 0.00885833 0.0063218 0.00500076 0.00462048 0.00414991 0.0032023
19 0.00165726 0.00284882 0.000326057 0.000998176 0.00257078 0.00349415 0.00412411 0.00420113 0.00377852 0.00314093 0.0022406 0.00177226 0.00163746 0.00147067 0.00113484
